,Address,Cusines,Restaurant,Latitude,Longitude,Clusters
1335,60 Robertson Quay#01-01The Quayside Singapore (238252),"Bar, Burgers",Three Buns Quayside,1.2900297,103.8391632,34
1336,8 Port Road Singapore (117540),Buffet,The Three Peacocks,1.265251,103.805053,40
1337,11 Unity Street#01-10/11Robertson Walk Singapore (237995),American,Thunderbird Bistro,1.2920186,103.8414078,34
1338,4 Jalan Kuras Singapore (577723),"Fusion, All-Day Breakfast, Cafe",Thus Coffee,1.3726512,103.8296416,32
1339,28 Aliwal Street#01-07Aliwal Arts Centre Singapore (199918),"Modern European, Italian, Fusion, British, Vegetarian Friendly, Burgers",Thyme @Aliwal,1.3025906,103.8611415,8
1340,44 Rochester Park Singapore (139248),"Bar, Modern European, Vegetarian Friendly",Thyme @Rochester,1.3044071,103.7856755,9
1341,403 Havelock Road Copthorne Kings Hotel Singapore Singapore (169632),"Chinese, Dim Sum",Tien Court,1.2882885,103.8366159,0
1342,60 Eu Tong Sen Street Furama City Centre Singapore (059804),"Buffet, International",Tiffany Cafe & Restaurant,1.2864727,103.8446054,24
1343,"1 Beach Road Grand Lobby, Raffles Singapore Singapore (189673)",Indian,Tiffin Room (Raffles Hotel),1.2948829,103.8544791,16
1344,78 Airport Boulevard#05-205Jewel Changi Airport Singapore (819666),"Bar, Local",Tiger Street Lab,1.3602082,103.9897593,21
1345,1 Old Parliament Lane#01-04The Arts House Singapore (179429),"Bar, Pizza",Timbre X S.E.A,1.288533,103.850936,24
1346,73A Ayer Rajah Crescent JTC Launch Pad @ one-north Singapore (139957),"American, Bar, Chinese, Japanese, Korean, Indian, Seafood, Burgers",Timbre+,1.2974527,103.7876333,9
1347,24 Ann Siang Road Singapore (069704),"Bar, Vegetarian Friendly",Tipple and Dram,1.2809363,103.8456853,4
1348,6 Eu Tong Sen Street#01-15The Central Singapore (059817),"Bar, Italian, Fusion, Pizza, Burgers",The Tipsy Cow (Central),1.2890252,103.8466098,24
1349,315 Tanjong Katong Road Singapore (437098),"Bar, Italian, Fusion, Pizza, Burgers",The Tipsy Cow (Katong),1.306075,103.8961585,42
1350,30 Victoria Street#01-27A/K11CHIJMES Singapore (187996),"American, Bar",The Tipsy Den,1.2951699,103.8521957,16
1351,183 Selegie Road#01-03Singapore (188329),"All-Day Breakfast, Cafe",Tittle Tattle,1.3038058,103.8500905,45
1352,31 Tanjong Pagar Road#01-01Singapore (088454),Korean,Todamgol,1.2792802,103.8440106,31
1353,"3A River Valley Road#01-14Block A, Clarke Quay Singapore (179020)","Bar, Japanese",Tomo Izakaya (Clarke Quay),1.2894879,103.8451404,24
1354,8 Raffles Ave#01-09Singapore (039802),Japanese,Tomo Izakaya (Esplanade),1.2896585,103.8557631,12
